model,n_pairs,share_no_change,share_change_small,share_change_large,share_full_anchor_match,shift_p10,shift_p25,shift_median,shift_p75,shift_p90
gemma3-27b-it,17730,0.7721376198533559,0.19667230682459108,0.01263395375070502,0.047320924985899605,-1.0,0.0,0.0,0.0,0.0
gemma4-31b-it,17699,0.851856037064241,0.1313633538618001,0.010339567207186847,0.02130063845414995,0.0,0.0,0.0,0.0,0.0
gemma4-e4b,17730,0.5614213197969543,0.32797518330513253,0.05916525662718556,0.05916525662718556,-2.0,-1.0,0.0,0.0,0.0
llava-next-interleaved-7b,17683,0.7515693038511565,0.20703500537239156,0.023016456483628343,0.04727704575015552,-1.0,0.0,0.0,0.0,0.0
qwen2.5-vl-7b-instruct,17730,0.8457980823463057,0.1392554991539763,0.007952622673434856,0.018556119571347996,-1.0,0.0,0.0,0.0,0.0
qwen3-vl-30b-it,17722,0.737501410675996,0.2439905202573073,0.005360568784561562,0.034476921340706464,-1.0,0.0,0.0,0.0,0.0
qwen3-vl-8b-instruct,17730,0.8438804286520023,0.13491257755217145,0.00924985899605189,0.029385222786238015,-1.0,0.0,0.0,0.0,0.0
