model,gemma3-27b-it,gemma4-31b-it,gemma4-e4b,llava-next-interleaved-7b,qwen2.5-vl-7b-instruct,qwen3-vl-30b-it,qwen3-vl-8b-instruct
gemma3-27b-it,1.0,0.20308100273406818,0.2671402605672023,0.21730693353333075,1.0,0.24492522312108211,0.22818918018073872
gemma4-31b-it,0.20308100273406818,1.0,0.1852522590100814,0.14772518758633596,,0.15355566617700028,0.16720371982322013
gemma4-e4b,0.2671402605672023,0.1852522590100814,1.0,0.2589251934566961,1.0,0.3149473500165075,0.26851404084462077
llava-next-interleaved-7b,0.21730693353333075,0.14772518758633596,0.2589251934566961,1.0,1.0,0.2408519128599752,0.18858237075800088
qwen2.5-vl-7b-instruct,1.0,,1.0,1.0,1.0,0.8660254037844387,0.8660254037844387
qwen3-vl-30b-it,0.24492522312108211,0.15355566617700028,0.3149473500165075,0.2408519128599752,0.8660254037844387,1.0,0.3002846366562063
qwen3-vl-8b-instruct,0.22818918018073872,0.16720371982322013,0.26851404084462077,0.18858237075800088,0.8660254037844387,0.3002846366562063,1.0
