experiment,model,timestamp,condition,df_moved_before,df_raw_before,adopt_before,exact_match_before,distance_before,n_before,df_moved_after,df_raw_after,adopt_after,exact_match_after,distance_after,n_after,df_moved_delta,df_raw_delta,adopt_delta,exact_match_delta
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_S4,0.06713426853707415,0.1903807615230461,0.016,0.566,87.95991983967936,1000.0,0.07314629258517034,0.07314629258517034,0.016,0.566,87.95991983967936,1000.0,0.006012024048096198,-0.11723446893787574,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_S5,0.06018054162487462,0.18455366098294884,0.013,0.564,5310.5486459378135,1000.0,0.06519558676028084,0.06519558676028084,0.013,0.564,5310.5486459378135,1000.0,0.005015045135406217,-0.119358074222668,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_masked_S1,0.04312938816449348,0.16850551654964896,0.061855670103092786,0.578,40.69307923771314,1000.0,0.07823470411233702,0.07823470411233702,0.061855670103092786,0.578,40.69307923771314,1000.0,0.03510531594784354,-0.09027081243731194,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_masked_S2,0.07214428857715431,0.2595190380761523,0.007157464212678937,0.579,3.217434869739479,1000.0,0.0871743486973948,0.0871743486973948,0.007157464212678937,0.579,3.217434869739479,1000.0,0.015030060120240482,-0.1723446893787575,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_masked_S3,0.04714142427281846,0.18856569709127383,0.002004008016032064,0.581,15.526579739217652,1000.0,0.05215646940822467,0.05215646940822467,0.002004008016032064,0.581,15.526579739217652,1000.0,0.005015045135406217,-0.13640922768304914,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_masked_S4,0.04208416833667335,0.18236472945891782,0.0,0.568,89.95290581162325,1000.0,0.04609218436873747,0.04609218436873747,0.0,0.568,89.95290581162325,1000.0,0.004008016032064125,-0.13627254509018036,0.0,0.0
experiment_e5c_vqa,llava-next-interleaved-7b,20260427-123331,target_plus_irrelevant_number_masked_S5,0.03206412825651302,0.16933867735470942,0.0,0.583,5368.280561122245,1000.0,0.03707414829659319,0.03707414829659319,0.0,0.583,5368.280561122245,1000.0,0.005010020040080165,-0.13226452905811623,0.0,0.0
experiment_e5d_chartqa_validation,analysis,20260427-153713,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_only,,,0.0,0.355,,200.0,,,0.0,0.355,,200.0,,,0.0,0.0
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_plus_irrelevant_number_S1,0.14201183431952663,0.28402366863905326,0.036585365853658534,0.34972677595628415,33.52662721893491,183.0,0.1893491124260355,0.1893491124260355,0.036585365853658534,0.34972677595628415,33.52662721893491,183.0,0.04733727810650887,-0.09467455621301776,0.0,0.0
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_plus_irrelevant_number_S2,0.12921348314606743,0.3202247191011236,0.015544041450777202,0.336734693877551,41.54494382022472,196.0,0.1348314606741573,0.1348314606741573,0.015544041450777202,0.336734693877551,41.54494382022472,196.0,0.005617977528089874,-0.1853932584269663,0.0,0.0
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_plus_irrelevant_number_S3,0.1837837837837838,0.3891891891891892,0.020100502512562814,0.33,56.935135135135134,200.0,0.16756756756756758,0.16756756756756758,0.020100502512562814,0.33,56.935135135135134,200.0,-0.016216216216216217,-0.22162162162162163,0.0,0.0
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_plus_irrelevant_number_S4,0.12972972972972974,0.24324324324324326,0.0,0.325,185.42702702702704,200.0,0.15675675675675677,0.15675675675675677,0.0,0.325,185.42702702702704,200.0,0.02702702702702703,-0.08648648648648649,0.0,0.0
experiment_e5d_chartqa_validation,llava-next-interleaved-7b,20260427-153713,target_plus_irrelevant_number_S5,0.11956521739130435,0.2608695652173913,0.005,0.325,5123.760869565217,200.0,0.14130434782608695,0.14130434782608695,0.005,0.325,5123.760869565217,200.0,0.021739130434782594,-0.11956521739130435,0.0,0.0
experiment_e5d_mathvista_validation,analysis,20260427-162151,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5d_mathvista_validation,analysis,20260427-162235,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_only,,,0.0,0.22875816993464052,,153.0,,,0.0,0.22875816993464052,,153.0,,,0.0,0.0
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_plus_irrelevant_number_S1,0.14728682170542637,0.24031007751937986,0.11304347826086956,0.22794117647058823,21.46511627906977,136.0,0.29457364341085274,0.29457364341085274,0.11304347826086956,0.22794117647058823,21.46511627906977,136.0,0.14728682170542637,0.05426356589147288,0.0,0.0
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_plus_irrelevant_number_S2,0.2097902097902098,0.44755244755244755,0.06164383561643835,0.19736842105263158,27.062937062937063,152.0,0.23076923076923078,0.23076923076923078,0.06164383561643835,0.19736842105263158,27.062937062937063,152.0,0.02097902097902099,-0.21678321678321677,0.0,0.0
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_plus_irrelevant_number_S3,0.25675675675675674,0.49324324324324326,0.0728476821192053,0.1895424836601307,49.50675675675676,153.0,0.2905405405405405,0.2905405405405405,0.0728476821192053,0.1895424836601307,49.50675675675676,153.0,0.03378378378378377,-0.20270270270270274,0.0,0.0
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_plus_irrelevant_number_S4,0.1917808219178082,0.3698630136986301,0.06535947712418301,0.20261437908496732,159.3013698630137,153.0,0.2191780821917808,0.2191780821917808,0.06535947712418301,0.20261437908496732,159.3013698630137,153.0,0.0273972602739726,-0.1506849315068493,0.0,0.0
experiment_e5d_mathvista_validation,llava-next-interleaved-7b,20260427-162235,target_plus_irrelevant_number_S5,0.18181818181818182,0.32167832167832167,0.0392156862745098,0.19607843137254902,5167.72027972028,153.0,0.22377622377622378,0.22377622377622378,0.0392156862745098,0.19607843137254902,5167.72027972028,153.0,0.04195804195804195,-0.09790209790209789,0.0,0.0
experiment_e5e_chartqa_full,analysis,20260427-171240,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_chartqa_full,analysis,20260427-235732,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_chartqa_full,analysis,20260427-235812,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_chartqa_full,analysis,20260428-001125,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_chartqa_full,analysis,20260428-001359,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_chartqa_full,gemma3-27b-it,20260428-001359,target_only,,,0.0,0.649645390070922,,705.0,,,0.0,0.649645390070922,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,gemma3-27b-it,20260428-001359,target_plus_irrelevant_neutral,,,0.0,0.6567375886524822,,705.0,,,0.0,0.6567375886524822,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,gemma3-27b-it,20260428-001359,target_plus_irrelevant_number_S1,0.05732484076433121,0.14012738853503184,0.036968576709796676,0.6534810126582279,23.93312101910828,632.0,0.09554140127388536,0.09554140127388536,0.036968576709796676,0.6534810126582279,23.93312101910828,632.0,0.038216560509554146,-0.04458598726114649,0.0,0.0
experiment_e5e_chartqa_full,gemma3-27b-it,20260428-001359,target_plus_irrelevant_number_masked_S1,0.049679487179487176,0.13141025641025642,0.022181146025878003,0.6487341772151899,95.01442307692308,632.0,0.07852564102564102,0.07852564102564102,0.022181146025878003,0.6487341772151899,95.01442307692308,632.0,0.028846153846153848,-0.05288461538461539,0.0,0.0
experiment_e5e_chartqa_full,llava-next-interleaved-7b,20260427-171240,target_only,,,0.0,0.33900709219858155,,705.0,,,0.0,0.33900709219858155,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,llava-next-interleaved-7b,20260427-171240,target_plus_irrelevant_neutral,,,0.0,0.3120567375886525,,705.0,,,0.0,0.3120567375886525,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,llava-next-interleaved-7b,20260427-171240,target_plus_irrelevant_number_S1,0.11604095563139932,0.27303754266211605,0.027874564459930314,0.3291139240506329,84.91467576791808,632.0,0.15187713310580206,0.15187713310580206,0.027874564459930314,0.3291139240506329,84.91467576791808,632.0,0.035836177474402736,-0.12116040955631399,0.0,0.0
