model,adoption_std,adoption_str,adoption_delta,moved_closer_std,moved_closer_str,moved_closer_delta
gemma3-27b-it,0.047320924985899605,0.21489001692047377,0.16756909193457417,0.1622673434856176,0.3155668358714044,0.15329949238578677
gemma4-31b-it,0.02130063845414995,0.03448081264108352,0.013180174186933569,0.08090852590541839,0.1373589164785553,0.056450390573136916
gemma4-e4b,0.05916525662718556,0.05956342715325173,0.00039817052606617304,0.24743372814438805,0.2397766371481753,-0.0076570909962127565
llava-next-interleaved-7b,0.04727704575015552,0.04016111143540949,-0.007115934314746025,0.16281174008935134,0.1426069698207927,-0.02020477026855863
qwen2.5-vl-7b-instruct,0.018556119571347996,0.028764805414551606,0.01020868584320361,0.08939650310208686,0.13857868020304567,0.04918217710095882
qwen3-vl-30b-it,0.034476921340706464,0.03446136491821771,-1.555642248875222e-05,0.16318699921002144,0.12594472645234067,-0.03724227275768077
qwen3-vl-8b-instruct,0.029385222786238015,0.04777483219583733,0.018389609409599314,0.09960518894529047,0.1602459247560494,0.06064073581075893
