model,n,share_non_numeric,share_exact_anchor,share_unchanged,share_graded_toward_anchor,share_orthogonal_or_away
gemma3-27b-it,17730,0.0,0.14055273547659333,0.7721376198533559,0.114946418499718,0.0655950366610265
gemma4-31b-it,17730,0.001748448956570784,0.11545403271291596,0.8503666102650874,0.05950366610265088,0.06711787930062042
gemma4-e4b,17730,0.0,0.12295544275239707,0.5614213197969543,0.18826847151720247,0.19114495205865764
llava-next-interleaved-7b,17730,0.0026508742244782855,0.132994923857868,0.7495769881556683,0.11539763113367174,0.08539199097574732
qwen2.5-vl-7b-instruct,15,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
qwen3-vl-30b-it,17730,0.0004512126339537507,0.11985335589396504,0.7371686407219402,0.12865200225606316,0.09926677946982515
qwen3-vl-8b-instruct,17730,0.0,0.12746756909193457,0.8438804286520023,0.0703891708967851,0.05651438240270728
