model,n_correct,n_wrong,adoption_correct,adoption_wrong,adoption_gap,moved_closer_correct,moved_closer_wrong,moved_closer_gap,pull_correct,pull_wrong,pull_gap
gemma3-27b-it,8611,9119,0.1280919753803275,0.1523193332602259,0.02422735787989841,0.08047845778655209,0.23949994516942646,0.15902148738287436,0.049819997677389385,5.007347296852725,4.957527299175336
gemma4-31b-it,10644,7055,0.11734310409620444,0.11311126860382707,-0.004231835492377364,0.0474445697106351,0.13139617292700212,0.08395160321636702,0.015501691093573845,3.5632884479092843,3.5477867568157104
gemma4-e4b,7570,10160,0.12932628797886395,0.11820866141732284,-0.01111762656154111,0.13527080581241743,0.331003937007874,0.19573313119545657,0.021136063408190225,9.083464566929134,9.062328503520943
llava-next-interleaved-7b,8419,9264,0.1430098586530467,0.12456822107081174,-0.01844163758223495,0.12495545789286139,0.19721502590673576,0.07225956801387437,0.12198598408362038,0.5043177892918825,0.38233180520826215
qwen2.5-vl-7b-instruct,10495,7235,0.11595998094330634,0.10020732550103663,-0.01575265544226971,0.061076703191996186,0.13047684865238424,0.06940014546038806,0.026774654597427346,2.5033863165169317,2.476611661919504
qwen3-vl-30b-it,10854,6868,0.11802100608070758,0.12288875946418171,0.00486775338347413,0.11608623548922056,0.2376237623762376,0.12153752688701705,-0.3365579509858117,-0.7482527664531159,-0.4116948154673042
qwen3-vl-8b-instruct,10747,6983,0.12589559877175024,0.12988686810826292,0.003991269336512671,0.06820508048757792,0.14793068881569527,0.07972560832811734,-0.5807202009863217,1.428039524559645,2.008759725545967
